[INFO][2022-06-15T18:15:25.859][log.go:58] _com_request_in||method=GET||args=map[]||body=||spanid=a2019ad11ff2fd04||uri=/admin/admin_info?token=admin||from=127.0.0.1||traceid=c0a82bec62a9b13d1be01da1f7a4bfb0||cspanid=
[INFO][2022-06-15T18:15:25.859][log.go:58] _com_request_out||method=GET||from=127.0.0.1||response={\"errno\":0,\"errmsg\":\"\",\"data\":{\"id\":1,\"name\":\"admin\",\"login_time\":\"2022-06-09T17:26:21.945182+08:00\",\"avatar\":\"https://wpimg.wallstcn.com/f778738c-e4f8-4870-b634-56703b4acafe.gif\",\"introduction\":\"I am a super administrator\",\"roles\":[\"admin\",\"test\"]},\"trace_id\":\"c0a82bec62a9b13d1be01da1f7a4bfb0\",\"stack\":null}||proc_time=0.009393034||traceid=c0a82bec62a9b13d1be01da1f7a4bfb0||cspanid=||spanid=a2019ad11ff2fd04||uri=/admin/admin_info?token=admin||args=map[]
[INFO][2022-06-15T18:15:26.747][log.go:58] _com_request_in||cspanid=||spanid=a2019ad25952989d||uri=/service/service_list?page_no=1&page_size=20&info=&page=1||args=map[]||body=||from=127.0.0.1||traceid=c0a82bec62a9b13eb9e01da17df18db0||method=GET
[INFO][2022-06-15T18:15:26.747][log.go:58] _com_mysql_success||source=/Users/fanfangjie/goproject/src/gin_scaffold_stydy/dao/service_info.go:84||affected_row=12||cspanid=||traceid=c0a82bec62a9b13eb9e01da17df18db0||spanid=a2019ad25952989d||level=sql||current_time=2022-06-15 18:15:26||proc_time=0.054557s||sql=SELECT * FROM `gateway_service_info`  WHERE (is_delete=0) ORDER BY id desc LIMIT 20 OFFSET 0
[INFO][2022-06-15T18:15:26.747][log.go:58] _com_mysql_success||cspanid=||spanid=a2019ad25952989d||level=sql||current_time=2022-06-15 18:15:26||proc_time=0.006618s||sql=SELECT count(*) FROM `gateway_service_info`  WHERE (is_delete=0) LIMIT 20 OFFSET 0||source=/Users/fanfangjie/goproject/src/gin_scaffold_stydy/dao/service_info.go:87||affected_row=0||traceid=c0a82bec62a9b13eb9e01da17df18db0
[INFO][2022-06-15T18:15:26.747][log.go:58] _com_mysql_success||traceid=c0a82bec62a9b13eb9e01da17df18db0||cspanid=||spanid=a2019ad25952989d||level=sql||source=/Users/fanfangjie/goproject/src/gin_scaffold_stydy/dao/service_http_rule.go:28||proc_time=0.009317s||sql=SELECT * FROM `gateway_service_http_rule`  WHERE (`gateway_service_http_rule`.`service_id` = '68')||current_time=2022-06-15 18:15:26||affected_row=1
[INFO][2022-06-15T18:15:26.747][log.go:58] _com_mysql_success||affected_row=0||spanid=a2019ad25952989d||level=sql||source=/Users/fanfangjie/goproject/src/gin_scaffold_stydy/dao/service_tcp_rule.go:22||sql=SELECT * FROM `gateway_service_tcp_rule`  WHERE (`gateway_service_tcp_rule`.`service_id` = '68')||traceid=c0a82bec62a9b13eb9e01da17df18db0||cspanid=||current_time=2022-06-15 18:15:26||proc_time=0.013831s
[INFO][2022-06-15T18:15:26.747][log.go:58] _com_mysql_success||spanid=a2019ad25952989d||source=/Users/fanfangjie/goproject/src/gin_scaffold_stydy/dao/service_grpc_rule.go:23||current_time=2022-06-15 18:15:26||proc_time=0.007113s||sql=SELECT * FROM `gateway_service_grpc_rule`  WHERE (`gateway_service_grpc_rule`.`service_id` = '68')||traceid=c0a82bec62a9b13eb9e01da17df18db0||level=sql||affected_row=0||cspanid=
[INFO][2022-06-15T18:15:26.747][log.go:58] _com_mysql_success||current_time=2022-06-15 18:15:26||affected_row=1||traceid=c0a82bec62a9b13eb9e01da17df18db0||cspanid=||spanid=a2019ad25952989d||level=sql||source=/Users/fanfangjie/goproject/src/gin_scaffold_stydy/dao/service_access_control.go:27||proc_time=0.008538s||sql=SELECT * FROM `gateway_service_access_control`  WHERE (`gateway_service_access_control`.`service_id` = '68')
[INFO][2022-06-15T18:15:26.747][log.go:58] _com_mysql_success||current_time=2022-06-15 18:15:26||sql=SELECT * FROM `gateway_service_load_balance`  WHERE (`gateway_service_load_balance`.`service_id` = '68')||level=sql||source=/Users/fanfangjie/goproject/src/gin_scaffold_stydy/dao/service_load_balance.go:35||traceid=c0a82bec62a9b13eb9e01da17df18db0||cspanid=||spanid=a2019ad25952989d||proc_time=0.006637s||affected_row=1
[INFO][2022-06-15T18:15:26.747][log.go:58] _com_mysql_success||traceid=c0a82bec62a9b13eb9e01da17df18db0||cspanid=||current_time=2022-06-15 18:15:26||affected_row=1||proc_time=0.003412s||sql=SELECT * FROM `gateway_service_http_rule`  WHERE (`gateway_service_http_rule`.`service_id` = '67')||spanid=a2019ad25952989d||level=sql||source=/Users/fanfangjie/goproject/src/gin_scaffold_stydy/dao/service_http_rule.go:28
[INFO][2022-06-15T18:15:26.747][log.go:58] _com_mysql_success||sql=SELECT * FROM `gateway_service_tcp_rule`  WHERE (`gateway_service_tcp_rule`.`service_id` = '67')||affected_row=0||traceid=c0a82bec62a9b13eb9e01da17df18db0||current_time=2022-06-15 18:15:26||proc_time=0.004070s||cspanid=||spanid=a2019ad25952989d||level=sql||source=/Users/fanfangjie/goproject/src/gin_scaffold_stydy/dao/service_tcp_rule.go:22
[INFO][2022-06-15T18:15:26.747][log.go:58] _com_mysql_success||level=sql||proc_time=0.006077s||traceid=c0a82bec62a9b13eb9e01da17df18db0||cspanid=||spanid=a2019ad25952989d||source=/Users/fanfangjie/goproject/src/gin_scaffold_stydy/dao/service_grpc_rule.go:23||current_time=2022-06-15 18:15:26||sql=SELECT * FROM `gateway_service_grpc_rule`  WHERE (`gateway_service_grpc_rule`.`service_id` = '67')||affected_row=0
[INFO][2022-06-15T18:15:26.747][log.go:58] _com_mysql_success||current_time=2022-06-15 18:15:26||sql=SELECT * FROM `gateway_service_access_control`  WHERE (`gateway_service_access_control`.`service_id` = '67')||affected_row=1||cspanid=||spanid=a2019ad25952989d||level=sql||source=/Users/fanfangjie/goproject/src/gin_scaffold_stydy/dao/service_access_control.go:27||proc_time=0.005185s||traceid=c0a82bec62a9b13eb9e01da17df18db0
